seed,station,group,variant,n,rmse,mae,bias,mean_predicted_ghi,rmse_delta_vs_original,mae_delta_vs_original,mean_ghi_shift_vs_original,fraction_ghi_shift_positive
43,zhujia,predicted_overcast,drop_center,12187,132.15206261946057,91.52204134240056,-24.32234082082681,235.93151082436887,-2.9875769102711445,0.1830173526465586,13.833460133287304,0.806022811192254
44,sili,all,original,49806,165.68787863685768,117.62402881154874,-30.331128592036016,407.8486489448069,0.0,0.0,0.0,0.0
44,sili,predicted_sunny,original,3046,77.89403596795104,59.77483838515327,-37.17473903372682,466.74515591046224,0.0,0.0,0.0,0.0
44,sili,predicted_partly_cloudy,original,24518,151.8290520199954,111.41421809154005,-31.121839844582443,488.39724817238476,0.0,0.0,0.0,0.0
44,sili,predicted_overcast,original,22242,187.70138271727586,132.39162045222736,-28.52228514741218,310.99183228807027,0.0,0.0,0.0,0.0
44,zhujia,all,original,50043,136.50002835073397,98.98194496669959,-32.750923607710824,354.13676011761873,0.0,0.0,0.0,0.0
44,zhujia,predicted_sunny,original,24375,129.8746273203215,94.08231857266578,-13.529554879671686,395.5624255647728,0.0,0.0,0.0,0.0
44,zhujia,predicted_partly_cloudy,original,13481,143.13330264997091,112.19314802353814,-55.369667075815435,405.84905878527303,0.0,0.0,0.0,0.0
44,zhujia,predicted_overcast,original,12187,141.8106009419766,94.16764817055072,-46.17486568143169,214.07898596376398,0.0,0.0,0.0,0.0
44,sili,all,zero_all,49806,165.37716579780175,118.05954884300975,-16.987192120299724,421.1925854165432,-0.31071283905592395,0.43552003146101015,13.343936471736283,0.562462353933261
44,sili,predicted_sunny,zero_all,3046,92.71821555541753,73.28429811727071,-48.25643150234231,455.6634634418468,14.824179587466489,13.509459732117442,-11.081692468615477,0.2603414313854235
44,sili,predicted_partly_cloudy,zero_all,24518,153.231707773248,110.80722163083247,-28.046973617188804,491.4721143997784,1.4026557532525885,-0.6069964607075775,3.0748662273936325,0.4074557467982707
44,sili,predicted_overcast,zero_all,22242,184.8875728812627,132.18588515713455,-0.5134116195161607,339.0007058159662,-2.8138098360131494,-0.20573529509280775,28.008873527896014,0.7747055120942361
44,zhujia,all,zero_all,50043,138.54709119530264,99.11055243473474,-27.234342036608158,359.65334168872135,2.0470628445686714,0.1286074680351561,5.516581571102679,0.47836860300141876
44,zhujia,predicted_sunny,zero_all,24375,134.7991251729488,93.83497087866581,-13.590058983518317,395.5019214609261,4.924497852627297,-0.24734769399996992,-0.06050410384661996,0.37985641025641026
44,zhujia,predicted_partly_cloudy,zero_all,13481,144.15125553960777,110.92120982242339,-53.719813627376645,407.4989122337118,1.0179528896368595,-1.2719382011147502,1.6498534484387823,0.40360507380758104
44,zhujia,predicted_overcast,zero_all,12187,139.61324989811087,96.59745062015772,-25.226362788549963,235.02748885664573,-2.197351043865723,2.4298024496069957,20.948502892881724,0.7581028965290884
44,sili,all,sunny_median,49806,169.13122112455557,122.92058034170748,-3.8649507130618193,434.3148268237811,3.4433424876978904,5.296551530158737,26.466177878974197,0.6432759105328675
